customer_id,age,Income,credit_score,loan_amount,loan_status,interest_rate,tenure
286,30,69,771,50,yes,0.13,2
287,51,45,756,131,yes,0.13,1
288,37,62,723,50,yes,0.13,2
289,44,172,705,391,yes,0.125,1
290,42,24,780,50,yes,0.13,1
291,51,850,713,50,yes,0.13,2
292,43,8,717,88,yes,0.13,1
293,24,38,763,129,yes,0.13,1
294,45,93,766,50,yes,0.13,2
295,35,55,737,50,yes,0.13,1
296,37,64,742,50,yes,0.13,2
297,34,122,711,50,yes,0.13,1
298,55,750,717,50,yes,0.13,1
299,43,81,763,50,yes,0.13,2
300,41,159,673,50,yes,0.125,1
301,34,750,705,50,yes,0.13,2
302,65,1550,773,196,yes,0.13,2
303,45,152,711,50,yes,0.13,1
304,49,195,812,617,yes,0.13,2
305,48,22,820,50,yes,0.13,2
306,37,22,705,123,yes,0.13,1
307,55,79,763,50,yes,0.13,1
308,42,33,717,50,yes,0.13,1
309,32,128,716,50,yes,0.125,1
310,62,91,712,50,yes,0.13,1
311,57,39,767,50,yes,0.13,1
312,52,121,718,167,yes,0.13,1
313,36,21,717,50,yes,0.13,1
314,34,41,746,50,yes,0.13,2
315,63,45,723,50,yes,0.13,1
316,24,51,776,50,yes,0.13,1
317,57,165,756,50,yes,0.13,1
318,30,119,719,50,yes,0.13,1
319,27,1150,776,1950,yes,0.13,1
320,65,250,723,50,yes,0.13,2
321,37,64,763,248,yes,0.13,2
322,44,1501,720,82,yes,0.13,2
323,63,1501,732,50,yes,0.125,1
324,59,99,720,50,yes,0.13,2
325,56,158,721,50,yes,0.13,2
326,54,89,715,50,yes,0.13,1
327,52,850,705,50,yes,0.125,1
328,58,114,730,302,yes,0.13,1
329,37,49,765,50,yes,0.13,1
330,28,191,723,50,yes,0.13,1
331,54,78,780,50,yes,0.13,1
332,32,28,780,50,yes,0.13,2
333,59,42,763,50,yes,0.13,1
334,63,130,766,50,yes,0.13,2
335,48,45,705,50,yes,0.13,1
336,56,122,776,3650,yes,0.125,1
337,36,65,772,50,yes,0.13,1
338,57,68,717,50,yes,0.13,1
339,29,153,766,392,yes,0.13,2
340,39,89,717,50,yes,0.13,2
341,59,91,755,50,yes,0.13,1
342,31,55,766,185,yes,0.13,1
343,43,118,717,50,yes,0.13,2
344,35,22,717,1503,yes,0.13,2
345,54,63,717,138,yes,0.13,1
346,51,12,765,78,yes,0.13,1
347,44,550,810,50,yes,0.13,1
348,25,43,756,50,yes,0.125,1
349,30,173,725,50,yes,0.125,1
350,26,650,699,132,yes,0.13,2
351,39,113,780,50,yes,0.13,1
352,28,155,755,50,yes,0.13,1
353,52,91,780,50,yes,0.13,2
354,53,55,772,50,yes,0.13,1
355,44,173,717,419,yes,0.13,1
356,43,71,776,50,yes,0.13,2
357,56,24,816,88,yes,0.13,2
358,38,42,764,81,yes,0.13,1
359,24,141,716,50,yes,0.13,1
360,32,32,715,50,yes,0.13,1
361,35,55,705,50,yes,0.13,2
362,43,153,711,50,yes,0.13,1
363,58,113,717,2750,yes,0.13,2
364,25,350,745,50,yes,0.13,2
365,54,29,780,148,yes,0.13,2
366,57,174,708,466,yes,0.13,1
367,32,35,776,50,yes,0.13,1
368,32,98,785,175,yes,0.13,1
369,63,350,780,159,yes,0.13,1
370,31,58,786,50,yes,0.13,2
371,36,25,780,147,yes,0.13,2
372,58,19,723,50,yes,0.13,2
373,56,44,723,174,yes,0.13,1
374,49,250,780,111,yes,0.13,1
375,24,98,785,2250,yes,0.13,1
376,33,950,756,50,yes,0.13,1
377,45,61,723,50,yes,0.13,2
378,24,30,767,50,yes,0.13,1
379,47,38,724,50,yes,0.13,2
380,25,28,745,50,yes,0.13,2
381,63,34,766,50,yes,0.13,1
382,55,73,746,50,yes,0.13,1
383,65,133,765,50,yes,0.13,2
384,44,53,721,50,yes,0.13,1
385,51,21,756,50,yes,0.13,1
386,35,30,767,50,yes,0.13,1
387,24,41,745,50,yes,0.13,1
388,31,82,776,50,yes,0.13,1
389,54,15050,726,50,yes,0.13,2
390,45,155,766,50,yes,0.13,1
391,45,45,721,50,yes,0.13,1
392,58,9,776,50,yes,0.13,2
393,54,48,776,50,yes,0.13,1
394,53,18,820,1509,yes,0.125,1
395,33,850,726,50,yes,0.13,1
396,37,64,766,50,yes,0.13,2
397,32,29,820,50,yes,0.13,2
398,26,48,723,50,yes,0.13,1
399,54,23,816,50,yes,0.13,2
400,28,84,721,50,yes,0.13,1
401,36,179,725,50,yes,0.13,1
402,29,350,766,112,yes,0.13,2
403,54,93,713,133,yes,0.125,1
404,55,39,715,50,yes,0.13,2
405,61,650,765,182,yes,0.13,2
406,36,133,712,2950,yes,0.125,1
407,45,125,751,50,yes,0.13,2
408,64,58,776,50,yes,0.13,1
409,37,89,756,50,yes,0.13,1
410,49,82,709,125,yes,0.13,1
411,47,1150,717,50,yes,0.13,1
412,37,54,746,50,yes,0.13,2
413,45,89,715,50,yes,0.13,1
414,32,42,746,50,yes,0.13,1
415,52,41,715,50,yes,0.13,2
416,35,38,780,124,yes,0.13,1
417,30,85,816,50,yes,0.13,1
418,53,83,780,50,yes,0.13,1
419,27,33,780,50,yes,0.13,2
420,58,550,724,50,yes,0.13,2
421,47,58,743,50,yes,0.13,1
422,28,115,785,50,yes,0.13,2
423,46,145,728,50,yes,0.125,1
424,43,161,711,50,yes,0.13,2
425,56,38,721,50,yes,0.13,2
426,28,28,763,50,yes,0.13,1
427,42,75,771,50,yes,0.13,2
428,32,35,705,116,yes,0.13,2
429,62,24,780,116,yes,0.13,2
430,37,78,820,50,yes,0.13,1
431,51,113,705,161,yes,0.13,1
432,39,75,724,224,yes,0.13,1
433,43,91,728,50,yes,0.13,1
434,52,31,721,141,yes,0.13,1
435,24,45,776,50,yes,0.13,1
436,52,850,763,50,yes,0.13,2
437,61,550,717,112,yes,0.13,1
438,36,31,780,50,yes,0.13,1
439,58,113,712,119,yes,0.125,1
440,47,29,756,50,yes,0.13,1
441,64,59,766,139,yes,0.13,1
442,52,43,705,50,yes,0.13,1
443,58,122,743,115,yes,0.13,1
444,48,29,780,50,yes,0.13,2
445,64,91,711,50,yes,0.13,1
446,58,65,745,50,yes,0.13,1
447,47,22,780,50,yes,0.13,2
448,49,71,717,50,yes,0.13,2
449,31,650,752,50,yes,0.13,1
450,61,650,754,50,yes,0.13,1
451,51,69,776,50,yes,0.13,1
452,28,48,729,89,yes,0.13,1
453,39,21,721,50,yes,0.13,2
454,54,53,758,50,yes,0.13,2
455,32,29,767,50,yes,0.13,2
456,24,650,764,50,yes,0.13,1
457,64,42,765,116,yes,0.13,1
458,29,69,776,50,yes,0.13,2
459,48,250,780,50,yes,0.13,1
460,35,25050,768,458,yes,0.13,2
461,37,141,724,50,yes,0.13,1
462,55,81,761,50,yes,0.13,2
463,29,183,730,50,yes,0.13,1
464,48,149,731,50,yes,0.125,1
465,43,83,765,50,yes,0.13,2
466,66,35,715,172,yes,0.13,1
467,25,13,767,50,yes,0.13,1
468,45,39,751,50,yes,0.13,2
469,34,21,765,50,yes,0.13,1
470,48,150,723,50,yes,0.13,1
471,32,84,776,50,yes,0.13,2
472,32,350,820,161,yes,0.13,1
473,43,31,776,156,yes,0.13,1
474,64,182,780,547,yes,0.13,1
475,37,114,738,50,yes,0.13,1
476,43,152,721,50,yes,0.13,2
477,37,53,763,50,yes,0.13,2
478,64,24,816,78,yes,0.13,1
479,44,1550,717,50,yes,0.13,2
480,37,132,766,4750,yes,0.13,1
481,54,68,756,50,yes,0.13,1
482,33,53,780,50,yes,0.13,2
483,56,173,732,88,yes,0.125,1
484,29,350,780,50,yes,0.13,2
485,25,113,721,50,yes,0.13,1
486,37,15,763,50,yes,0.13,1
487,55,84,761,3504,yes,0.13,1
488,39,88,717,50,yes,0.13,1
489,37,43,766,50,yes,0.13,1
490,53,43,724,50,yes,0.125,1
491,34,950,810,50,yes,0.13,1
492,42,34,776,1504,yes,0.13,1
493,37,38,705,50,yes,0.13,1
494,32,173,780,50,yes,0.13,1
495,41,1650,754,50,yes,0.13,1
496,25,44,756,50,yes,0.13,1
497,32,83,816,50,yes,0.13,1
498,48,94,743,50,yes,0.13,1
499,32,43,724,50,yes,0.13,2
500,32,42,745,50,yes,0.13,1
501,59,34,776,50,yes,0.13,2
502,32,39,715,50,yes,0.13,1
503,44,750,820,50,yes,0.13,2
504,31,39,776,185,yes,0.13,2
505,30,44,754,50,yes,0.13,1
506,36,69,785,50,yes,0.13,1
507,51,44,767,50,yes,0.13,2
508,64,32,820,50,yes,0.13,1
509,47,15,723,50,yes,0.13,2
510,52,118,708,112,yes,0.13,1
511,51,62,705,221,yes,0.13,1
512,31,82,765,50,yes,0.13,2
513,39,54,786,1508,yes,0.13,2
514,24,48,724,50,yes,0.13,2
515,27,74,776,50,yes,0.13,1
516,41,113,780,211,yes,0.13,2
517,53,81,745,50,yes,0.13,2
518,54,43,780,169,yes,0.13,2
519,28,34,776,50,yes,0.13,1
520,34,48,732,1505,yes,0.13,1
521,61,54,780,129,yes,0.13,1
522,48,75,717,50,yes,0.13,1
523,36,72,721,224,yes,0.13,2
524,56,39,767,50,yes,0.13,2
525,24,75,721,50,yes,0.13,1
526,64,79,731,179,yes,0.13,2
527,26,2505,723,271,yes,0.13,2
528,33,65,820,89,yes,0.13,1
529,64,122,721,378,yes,0.13,1
530,39,82,763,50,yes,0.13,1
531,54,21,721,50,yes,0.13,2
532,32,550,724,50,yes,0.125,1
533,62,39,742,113,yes,0.125,1
534,27,1501,715,50,yes,0.13,2
535,53,41,756,50,yes,0.13,2
536,51,132,776,50,yes,0.13,1
537,25,43,751,176,yes,0.13,1
538,44,131,713,50,yes,0.13,1
539,31,11,816,76,yes,0.13,2
540,57,21,776,117,yes,0.13,2
541,25,1509,746,314,yes,0.13,1
542,24,141,716,50,yes,0.13,2
543,30,81,820,50,yes,0.13,1
544,63,54,751,950,yes,0.13,2
545,35,164,724,50,yes,0.13,1
546,43,28,776,87,yes,0.13,2
547,27,68,732,2503,yes,0.13,2
548,44,44,742,1850,yes,0.125,1
549,49,61,717,50,yes,0.13,1
550,61,35,705,50,yes,0.13,2
551,37,54,776,50,yes,0.13,1
552,59,14,820,50,yes,0.13,1
553,28,52,753,2350,yes,0.13,1
554,52,1501,776,50,yes,0.13,2
555,28,149,765,50,yes,0.13,1
556,34,35,763,137,yes,0.125,1
557,37,21,776,129,yes,0.13,1
558,39,118,715,50,yes,0.13,2
559,24,38,742,50,yes,0.13,2
560,49,24,721,138,yes,0.13,1
561,43,59,761,50,yes,0.13,1
562,63,41,717,50,yes,0.13,1
563,28,85,763,50,yes,0.13,1
564,51,12,780,50,yes,0.13,1
565,33,32,756,152,yes,0.13,2
566,55,79,763,50,yes,0.13,1
567,53,175,753,50,yes,0.125,1
568,34,28,767,50,yes,0.13,2
569,34,41,820,161,yes,0.13,1
570,30,750,724,185,yes,0.13,2
571,49,161,714,485,yes,0.125,2
572,35,53,753,50,yes,0.13,1
573,39,128,726,50,yes,0.13,2
574,55,550,780,50,yes,0.13,1
575,29,850,764,50,yes,0.13,1
576,54,93,810,50,yes,0.13,1
577,25,48,776,50,yes,0.13,2
578,52,149,708,50,yes,0.13,1
579,46,49,753,50,yes,0.13,1
580,57,88,810,50,yes,0.13,1
581,52,22,816,50,yes,0.13,1
582,28,55,709,50,yes,0.13,1
583,44,72,723,155,yes,0.13,2
584,24,38,745,50,yes,0.13,1
585,30,114,726,35050,yes,0.13,1
586,34,83,785,50,yes,0.13,1
587,39,1501,816,50,yes,0.13,1
588,32,94,713,272,yes,0.13,1
589,41,30,786,50,yes,0.125,1
590,31,128,790,50,yes,0.13,2
591,29,39,724,50,yes,0.13,1
592,24,51,780,50,yes,0.13,1
593,44,79,765,50,yes,0.125,1
594,33,48,786,50,yes,0.13,1
595,32,85,711,144,yes,0.13,2
596,42,41,776,94,yes,0.13,1
597,48,152,724,50,yes,0.13,1
598,24,125,765,50,yes,0.13,2
599,56,11,721,950,yes,0.13,2
600,28,1503,766,50,yes,0.13,1
601,56,141,765,50,yes,0.13,1
602,58,38,717,50,yes,0.13,1
603,29,135,756,50,yes,0.13,2
604,63,28,765,89,yes,0.13,1
605,28,750,760,230,yes,0.13,2
606,57,41,721,50,yes,0.13,1
607,34,81,767,2508,yes,0.13,1
608,28,1750,820,50,yes,0.13,2
609,27,55,745,50,yes,0.13,1
610,37,24,766,50,yes,0.13,2
611,52,81,776,275,yes,0.13,2
612,49,32,776,83,yes,0.13,2
613,65,129,705,50,yes,0.13,1
614,37,1508,767,50,yes,0.13,2
615,37,1850,735,50,yes,0.13,1
616,63,139,738,50,yes,0.13,2
617,30,33,717,50,yes,0.13,1
618,46,74,766,50,yes,0.13,1
619,63,42,723,115,yes,0.13,1
620,57,73,743,50,yes,0.13,2
621,33,115,753,50,yes,0.13,1
622,41,114,776,50,yes,0.13,1
623,41,92,715,131,yes,0.13,1
624,44,34,776,78,yes,0.13,1
625,33,54,717,122,yes,0.13,1
626,52,64,780,211,yes,0.13,1
627,24,42,721,15050,yes,0.13,2
628,45,750,724,50,yes,0.13,1
629,49,51,705,50,yes,0.13,2
630,45,71,761,218,yes,0.125,1
631,32,35,705,1508,yes,0.13,2
632,45,30,780,50,yes,0.13,1
633,57,165,810,50,yes,0.13,1
634,61,18,766,50,yes,0.13,1
635,57,32,717,50,yes,0.125,1
636,37,35,721,169,yes,0.13,1
637,30,1250,721,196,yes,0.13,1
638,53,31,820,50,yes,0.13,1
639,42,35,766,50,yes,0.13,2
640,62,32,721,50,yes,0.13,1
641,43,85,761,327,yes,0.13,1
642,35,139,724,50,yes,0.13,2
643,32,1503,776,50,yes,0.13,1
644,45,152,717,50,yes,0.13,1
645,52,33,752,50,yes,0.13,1
646,35,84,765,322,yes,0.13,2
647,58,61,753,50,yes,0.13,2
648,62,64,743,123,yes,0.125,1
649,32,34,705,50,yes,0.13,1
650,25,82,724,50,yes,0.13,1
651,47,122,771,163,yes,0.13,2
652,28,58,766,131,yes,0.13,2
653,34,92,746,50,yes,0.13,1
654,49,78,751,2505,yes,0.13,2
655,54,129,719,50,yes,0.13,2
656,32,13,723,50,yes,0.13,2
657,37,81,753,145,yes,0.13,2
658,38,23,717,50,yes,0.13,2
659,52,35,767,50,yes,0.13,2
660,63,79,745,50,yes,0.13,1
661,39,165,717,50,yes,0.13,1
662,63,52,753,50,yes,0.13,1
663,65,185,765,50,yes,0.13,2
664,46,49,765,50,yes,0.13,2
665,54,64,776,227,yes,0.13,2
666,54,61,743,50,yes,0.13,1
667,52,112,751,50,yes,0.125,1
668,63,72,760,1950,yes,0.13,1
669,66,18,765,50,yes,0.13,2
670,56,41,871,50,yes,0.13,2
671,23,61,801,239,yes,0.13,1
672,65,1505,807,282,yes,0.125,1
673,51,23,721,50,yes,0.13,1
674,34,22,765,85,yes,0.13,2
675,49,59,724,50,yes,0.13,2
676,29,33,710,1650,yes,0.13,2
677,47,11,767,1503,yes,0.13,2
678,46,2504,801,50,yes,0.13,1
679,52,61,776,2507,yes,0.13,2
680,55,1503,776,364,yes,0.13,2
681,61,51,766,50,yes,0.13,2
682,34,164,790,50,yes,0.13,1
683,58,12,820,50,yes,0.13,2
684,30,82,765,50,yes,0.13,2
685,43,164,751,449,yes,0.13,1
686,35,48,717,50,yes,0.13,1
687,24,38,756,50,yes,0.13,1
688,48,65,766,50,yes,0.13,1
689,44,71,715,2507,yes,0.13,1
690,54,18,776,50,yes,0.125,1
691,59,52,756,75,yes,0.13,1
692,45,48,786,113,yes,0.13,1
693,26,350,780,111,yes,0.13,2
694,30,30,765,1507,yes,0.13,1
695,32,112,712,81,yes,0.13,1
696,29,115,715,50,yes,0.13,2
697,51,63,780,82,yes,0.13,1
698,42,85,761,50,yes,0.13,1
699,64,59,760,2250,yes,0.13,2
700,44,68,763,91,yes,0.13,2
701,37,84,776,50,yes,0.13,1
702,44,62,763,50,yes,0.13,2
703,35,1509,729,50,yes,0.13,2
704,41,141,739,92,yes,0.13,2
705,56,129,754,50,yes,0.13,2
706,62,350,723,50,yes,0.13,1
707,58,148,740,50,yes,0.13,1
708,47,25,717,50,yes,0.13,1
709,35,21,705,115,yes,0.13,2
710,29,72,766,50,yes,0.13,1
711,43,59,767,87,yes,0.13,1
712,62,83,776,187,yes,0.13,2
713,41,150,776,50,yes,0.13,1
714,34,84,756,50,yes,0.13,1
715,32,98,766,50,yes,0.13,2
716,47,32,780,50,yes,0.125,1
717,29,31,816,161,yes,0.13,1
718,59,94,765,50,yes,0.13,2
719,56,21,721,137,yes,0.125,1
720,61,1150,720,50,yes,0.13,1
721,58,38,709,50,yes,0.13,2
722,49,39,717,50,yes,0.13,1
723,45,132,780,50,yes,0.125,1
724,32,61,709,50,yes,0.13,1
725,64,92,703,50,yes,0.13,1
726,39,119,721,50,yes,0.13,2
727,58,53,724,50,yes,0.13,1
728,62,18,705,50,yes,0.13,1
